type,prompt,points,answer,choices,language,starterCode,feedback,correct_feedback,incorrect_feedback
multiple_choice,What is the time complexity of binary search on a sorted array?,2,O(log n),O(1)|O(log n)|O(n)|O(n log n),,,"Answer: O(log n)

Why:
Binary search discards half of the remaining sorted range each comparison, so steps grow logarithmically with n.

Common mistake:
Choosing O(n) (linear scan) or O(1) (hash-table style access).

Takeaway:
Sorted array + halving search space ⇒ logarithmic time.","Answer: O(log n)

Why:
Binary search discards half of the remaining sorted range each comparison, so steps grow logarithmically with n.

Common mistake:
Choosing O(n) (linear scan) or O(1) (hash-table style access).

Takeaway:
Sorted array + halving search space ⇒ logarithmic time.","Answer: O(log n)

Common mistake:
Choosing O(n) (linear scan) or O(1) (hash-table style access).

Why:
Binary search discards half of the remaining sorted range each comparison, so steps grow logarithmically with n.

Takeaway:
Sorted array + halving search space ⇒ logarithmic time."
multiple_choice,Which HTTP status code means Not Found?,2,404,200|301|404|500,,,"Answer: 404 Not Found

Why:
The server understood the request but could not locate a matching resource.

Common mistake:
Confusing 404 with 500 (server error) or 301 (redirect).

Takeaway:
2xx success, 3xx redirect, 4xx client error, 5xx server error.","Answer: 404 Not Found

Why:
The server understood the request but could not locate a matching resource.

Common mistake:
Confusing 404 with 500 (server error) or 301 (redirect).

Takeaway:
2xx success, 3xx redirect, 4xx client error, 5xx server error.","Answer: 404 Not Found

Common mistake:
Confusing 404 with 500 (server error) or 301 (redirect).

Why:
The server understood the request but could not locate a matching resource.

Takeaway:
2xx success, 3xx redirect, 4xx client error, 5xx server error."
multiple_choice,In Python which keyword defines a function?,2,def,func|def|fn|function,,,"Answer: def

Why:
Python function definitions use def name(params): …

Common mistake:
Using function/fn from other languages.

Takeaway:
def for functions; lambda for tiny anonymous expressions.","Answer: def

Why:
Python function definitions use def name(params): …

Common mistake:
Using function/fn from other languages.

Takeaway:
def for functions; lambda for tiny anonymous expressions.","Answer: def

Common mistake:
Using function/fn from other languages.

Why:
Python function definitions use def name(params): …

Takeaway:
def for functions; lambda for tiny anonymous expressions."
multiple_choice,Which OSI layer includes IP?,4,Network,Physical|Data Link|Network|Transport,,,"Answer: Merge sort and Quicksort

Why:
Both rearrange elements into order. Dijkstra and BFS solve graph path/exploration problems.

Common mistake:
Selecting Dijkstra/BFS because they “order nodes by discovery.”

Takeaway:
Sorting ≠ graph search—different problem families.","Answer: Merge sort and Quicksort

Why:
Both rearrange elements into order. Dijkstra and BFS solve graph path/exploration problems.

Common mistake:
Selecting Dijkstra/BFS because they “order nodes by discovery.”

Takeaway:
Sorting ≠ graph search—different problem families.","Answer: Merge sort and Quicksort

Common mistake:
Selecting Dijkstra/BFS because they “order nodes by discovery.”

Why:
Both rearrange elements into order. Dijkstra and BFS solve graph path/exploration problems.

Takeaway:
Sorting ≠ graph search—different problem families."
multiple_answers,Which are sorting algorithms? (choices listed),4,Merge sort,Merge sort|Dijkstra|Quicksort|BFS,,,"Answer: Stack, queue, and deque

Why:
Each supports O(1) amortized push/pop at an endpoint (deque at both ends).

Common mistake:
Including a balanced BST—great for ordered search, not endpoint queues/stacks.

Takeaway:
Match ADT to access pattern: ends vs ordered keys.","Answer: Stack, queue, and deque

Why:
Each supports O(1) amortized push/pop at an endpoint (deque at both ends).

Common mistake:
Including a balanced BST—great for ordered search, not endpoint queues/stacks.

Takeaway:
Match ADT to access pattern: ends vs ordered keys.","Answer: Stack, queue, and deque

Common mistake:
Including a balanced BST—great for ordered search, not endpoint queues/stacks.

Why:
Each supports O(1) amortized push/pop at an endpoint (deque at both ends).

Takeaway:
Match ADT to access pattern: ends vs ordered keys."
true_false,TCP provides reliable ordered delivery of a byte stream.,1,true,,,,"Answer: True

Why:
TCP provides a connection-oriented, reliable, ordered byte stream with ACKs and retransmission.

Common mistake:
Describing TCP like UDP.

Takeaway:
TCP = reliable stream; UDP = best-effort datagrams.","Answer: True

Why:
TCP provides a connection-oriented, reliable, ordered byte stream with ACKs and retransmission.

Common mistake:
Describing TCP like UDP.

Takeaway:
TCP = reliable stream; UDP = best-effort datagrams.","Answer: True

Common mistake:
Describing TCP like UDP.

Why:
TCP provides a connection-oriented, reliable, ordered byte stream with ACKs and retransmission.

Takeaway:
TCP = reliable stream; UDP = best-effort datagrams."
true_false,A singly linked list supports O(1) random access by index.,1,false,,,,"Answer: False

Why:
Reaching index i requires following i next pointers—Θ(i) time.

Common mistake:
Assuming linked lists index like arrays.

Takeaway:
Arrays: fast index. Lists: fast splice given a pointer.","Answer: False

Why:
Reaching index i requires following i next pointers—Θ(i) time.

Common mistake:
Assuming linked lists index like arrays.

Takeaway:
Arrays: fast index. Lists: fast splice given a pointer.","Answer: False

Common mistake:
Assuming linked lists index like arrays.

Why:
Reaching index i requires following i next pointers—Θ(i) time.

Takeaway:
Arrays: fast index. Lists: fast splice given a pointer."
true_false,P is a subset of NP.,1,true,,,,"Answer: True

Why:
Any deterministic poly-time machine is also a nondeterministic one, so P ⊆ NP. Whether equality holds is open.

Common mistake:
Claiming P ⊆ NP is unknown—the ⊆ direction is known.

Takeaway:
P ⊆ NP is proven; P = NP is not.","Answer: True

Why:
Any deterministic poly-time machine is also a nondeterministic one, so P ⊆ NP. Whether equality holds is open.

Common mistake:
Claiming P ⊆ NP is unknown—the ⊆ direction is known.

Takeaway:
P ⊆ NP is proven; P = NP is not.","Answer: True

Common mistake:
Claiming P ⊆ NP is unknown—the ⊆ direction is known.

Why:
Any deterministic poly-time machine is also a nondeterministic one, so P ⊆ NP. Whether equality holds is open.

Takeaway:
P ⊆ NP is proven; P = NP is not."
true_false,IPv4 addresses are 32 bits long.,2,true,,,,"Answer: Application Programming Interface

Why:
An API is the contract of operations one component exposes for others to call.

Common mistake:
Vague expansions that miss “Interface.”

Takeaway:
APIs separate implementation from consumers.","Answer: Application Programming Interface

Why:
An API is the contract of operations one component exposes for others to call.

Common mistake:
Vague expansions that miss “Interface.”

Takeaway:
APIs separate implementation from consumers.","Answer: Application Programming Interface

Common mistake:
Vague expansions that miss “Interface.”

Why:
An API is the contract of operations one component exposes for others to call.

Takeaway:
APIs separate implementation from consumers."
short_answer,What does API stand for?,2,Application Programming Interface,,,,"Answer: git add -u

Why:
-u stages modifications/deletions to already-tracked files.

Common mistake:
Expecting -u to pick up brand-new untracked files (it does not).

Takeaway:
Tracked updates → git add -u; new files → git add <path>.","Answer: git add -u

Why:
-u stages modifications/deletions to already-tracked files.

Common mistake:
Expecting -u to pick up brand-new untracked files (it does not).

Takeaway:
Tracked updates → git add -u; new files → git add <path>.","Answer: git add -u

Common mistake:
Expecting -u to pick up brand-new untracked files (it does not).

Why:
-u stages modifications/deletions to already-tracked files.

Takeaway:
Tracked updates → git add -u; new files → git add <path>."
